article_candidate_index,article_url,article_title,article_published_time,source_path,source_line_number,bout_ordinal_in_article,fighter_a_text,fighter_b_text,scale_weight_a_lbs,scale_weight_b_lbs,marker_a,marker_b,raw_source_line,extraction_rule,review_status
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,52,3,Justin Willis,Chase Sherman,265.4,247,,,Justin Willis (265.4) vs Chase Sherman (247),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,53,4,David Branch,Thiago Santos,186,185.8,,,David Branch (186) vs Thiago Santos (185.8),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,54,5,Aljamain Sterling,Brett Johns,135.2,135.8,,,Aljamain Sterling (135.2) vs Brett Johns (135.8),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,55,6,Jim Miller,Dan Hooker,155.4,155.6,,,Jim Miller (155.4) vs Dan Hooker (155.6),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,57,7,Ryan LaFlare,Alex Garcia,170.6,171,,,Ryan LaFlare (170.6) vs Alex Garcia (171),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,58,8,Siyar Bahadurzada,Luan Chagas,171,170,,,Siyar Bahadurzada (171) vs Luan Chagas (170),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,59,9,Corey Anderson,Patrick Cummins,205,205.6,,,Corey Anderson (205) vs Patrick Cummins (205.6),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,60,10,Merab Dvalishvili,Ricky Simon,135.2,135.8,,,Merab Dvalishvili (135.2) vs Ricky Simon (135.8),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,62,11,Tony Martin,Keita Nakamura,170.6,170.6,,,Tony Martin (170.6) vs Keita Nakamura (170.6),explicit_parenthetical_weights_vs,candidate
5,https://www.ufc.com/news/fight-night-auckland-official-weigh-results,Fight Night Auckland official weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000005_fight-night-auckland-official-weigh-results-a6eed28df6d6.html,50,1,Derrick Lewis,Mark Hunt,265,265,,,Derrick Lewis (265) vs Mark Hunt (265),explicit_parenthetical_weights_vs,candidate
