family,url,lastmod
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-296-edwards-vs-covington,2024-01-26T17:23Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-297-strickland-vs-du-plessis,2024-01-21T06:54Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-298-volkanovski-vs-topuria,2024-02-18T21:15Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-299-omalley-vs-vera-2,2024-03-10T07:21Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-300-pereira-vs-hill,2024-04-14T06:18Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-301-pantoja-vs-erceg,2024-05-05T05:16Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-302-makhachev-vs-poirier,2024-06-02T06:42Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-303-pereira-vs-prochazka-2,2024-07-26T20:37Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-304-edwards-vs-muhammad-2,2024-07-28T05:52Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-305-du-plessis-vs-adesanya,2024-08-18T05:10Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-306-omalley-vs-dvalishvili-noche-ufc-sphere,2024-09-16T01:00Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-307-pereira-vs-rountree-jr,2024-10-07T17:42Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-308-topuria-vs-holloway,2024-10-26T21:25Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-309-jones-vs-miocic,2025-02-24T21:29Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-310-pantoja-vs-asakura,2024-12-09T17:09Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-311-makhachev-vs-moicano-los-angeles,2025-01-19T07:19Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-312-du-plessis-vs-strickland-2-sydney,2025-02-09T06:27Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-313-pereira-vs-ankalaev-t-mobile-arena-las-vegas,2025-11-03T20:50Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-314-volkanovski-vs-lopes-kaseya-center-miami,2025-04-16T17:07Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-315-muhammad-vs-della-maddalena-montreal,2025-05-11T05:46Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-316-dvalishvili-vs-omalley-2-newark,2025-06-08T06:05Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-317-topuria-vs-oliveira,2025-06-29T06:01Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-318-holloway-vs-poirier-3-new-orleans,2025-07-20T03:24Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-319-du-plessis-vs-chimaev-chicago,2025-08-17T05:31Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-321-aspinall-vs-gane,2025-10-27T15:54Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-323-dvalishvili-vs-yan-2,2025-12-07T06:18Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-abu-dhabi-sandhagen-vs-nurmagomedov,2025-02-28T18:02Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-atlantic-city-blanchfield-fiorot,2024-03-31T05:57Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-denver,2024-07-14T05:29Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-edmonton-moreno-vs-albazi,2024-11-04T16:38Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-adesanya-vs-imavov-saudi-arabia,2025-02-01T19:55Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-allen-vs-curtis-2,2024-04-07T01:11Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-almeida-vs-lewis,2023-11-05T03:59Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-andrade-vs-blanchfield,2025-02-21T17:37Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-ankalaev-vs-walker-2,2024-01-19T14:19Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-aspinall-vs-tybura,2023-07-22T22:25Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-barboza-vs-murphy,2024-05-19T01:39Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-blachowicz-rakic-ufc-vegas-54,2022-05-15T06:01Z
