fightmetric_id,ufc_fight_uuid,drupal_internal_nid,red_athlete_uuid,blue_athlete_uuid,winner_athlete_uuid,title,final_method,final_round,final_time
10936,62e4792b-805f-41d7-9fc8-636143e5dc3f,133433,b881813b-7933-4bc1-8463-df81f48bf58f,fa0c60b2-a716-4e6d-a242-19af6606bd32,b881813b-7933-4bc1-8463-df81f48bf58f,Vanessa Demopoulos vs Kanako Murata,Decision - Unanimous,3,5:00
10938,2b5b1476-d582-4fae-ba9c-4a091253d997,133437,76f6568b-7fd3-42da-bbef-7e7700484eb4,bb0889f5-10d2-4f5f-8fb0-3a78cc29c159,bb0889f5-10d2-4f5f-8fb0-3a78cc29c159,Alex Morono vs Joaquin Buckley,Decision - Unanimous,3,5:00
10939,e1eb0bd8-69e6-4506-b5c6-80bc04bc6281,133554,503d1f0c-e212-4d9f-ba63-a2877c53f69c,a69a77b7-ac98-4533-9513-3a08a31ea834,503d1f0c-e212-4d9f-ba63-a2877c53f69c,Jonathan Martinez vs Adrian Yanez,KO/TKO,2,2:26
10940,92006d4e-f23c-4b71-bf5b-7aaa66ed1456,133512,670389be-311b-4f37-84d1-06fc6af95498,1b7d898c-1e4d-45c3-b268-d34457c2f8bf,670389be-311b-4f37-84d1-06fc6af95498,Mike Breeden vs Anshul Jubli,KO/TKO,3,3:00
10941,fa1a3256-5056-437f-aeab-7802d19b9ec3,133452,5a2747c8-3f86-4d5b-879d-a1f1b100407d,c2488ca6-d83f-4b7c-a94e-7e52769bfcd9,,Javid Basharat vs Victor Henry,Could Not Continue,2,0:15
10942,21885b8c-1790-42e2-9b35-1f37f084b57c,133648,1dc48d94-5a70-4640-a40c-bd317ab6bb88,3d89a099-c613-45eb-97a3-b755e4dee93d,1dc48d94-5a70-4640-a40c-bd317ab6bb88,Christian Rodriguez vs Cameron Saaiman,Decision - Unanimous,3,5:00
10943,2b0c3199-44ba-435a-8492-66446158ee4d,133649,1682953b-9aff-4ed3-bcf7-57f1ea57d54d,4dffeaed-5999-4a83-842c-0a453f9c635b,1682953b-9aff-4ed3-bcf7-57f1ea57d54d,Darren Elkins vs TJ Brown,Submission,3,2:23
10944,4368db8f-867b-43bd-9ea3-1a18a1e48b67,133651,d35412ad-514e-407c-b93d-4aec3ccacc98,d0b10a51-147a-4a05-bd8d-85b85d4ba8c4,d0b10a51-147a-4a05-bd8d-85b85d4ba8c4,Irina Alekseeva vs Melissa Dixon,Decision - Unanimous,3,5:00
10946,c7b739a4-2093-4564-a078-f8a8c62e03c0,133647,85b43366-2a2b-441c-98f6-c18da3f3a12a,b1abbf24-7948-44c9-8442-fcfde3e55634,b1abbf24-7948-44c9-8442-fcfde3e55634,Ashley Yoder vs Emily Ducote,Decision - Unanimous,3,5:00
10949,dd8ae0fd-d451-49c2-ae98-87415b02e58d,133658,ed60a4e3-69aa-46e9-ae0d-9d70b921a44a,d379a632-3996-4c3d-bee3-6e16000a461c,ed60a4e3-69aa-46e9-ae0d-9d70b921a44a,Said Nurmagomedov vs Muin Gafurov,Submission,1,1:13
10950,99b7cfb1-3b60-4fc7-a69f-34395cec99b6,133657,9b0d223a-f559-451c-b75d-6a0d200bb10f,f5494abd-c833-490d-9c87-e5b4ef277c9c,f5494abd-c833-490d-9c87-e5b4ef277c9c,Mohammad Yahya vs Trevor Peek,Decision - Unanimous,3,5:00
10951,b81df21b-5bd9-4492-b55f-70f3969775e3,133656,10c525ee-5e2e-4e8a-9208-f8cfabe62e13,5e6960f4-09a1-4217-a293-6765c140a0f1,10c525ee-5e2e-4e8a-9208-f8cfabe62e13,Shara Magomedov vs Bruno Silva,Decision - Unanimous,3,5:00
10953,dd3ed1a2-7174-4c93-b3d4-2639aac81edf,133783,b90120c0-019b-404d-a140-4dfd8d3b28c6,c4a5c2fe-3e5c-41a3-b79c-832c054733b3,b90120c0-019b-404d-a140-4dfd8d3b28c6,Jared Gordon vs Mark Madsen,KO/TKO,1,4:42
10955,45011433-5160-45a4-bf91-feac7cc48dfa,134439,044e38b4-999d-4df6-a240-0af7a5735126,51c0b62f-0bd0-4d7a-9dd1-85ee9b39af82,51c0b62f-0bd0-4d7a-9dd1-85ee9b39af82,Jiří Procházka vs Alex Pereira,KO/TKO,2,4:08
10956,ad8ea09b-d58a-4525-bc61-753ff25ce48b,133694,b5e2bd15-5832-4551-b2ed-5531e5a44343,4aba6e3f-3f1f-4963-8e26-fd026ef279d4,b5e2bd15-5832-4551-b2ed-5531e5a44343,Leon Edwards vs Colby Covington,Decision - Unanimous,5,5:00
10957,8fa21445-5791-45d3-ab8e-3091d2d500d0,133695,f08444d8-f888-4f27-a09e-f99b3dcb7b9d,fccc216e-cf9e-454e-aa31-e557011cd9a1,f08444d8-f888-4f27-a09e-f99b3dcb7b9d,Alexandre Pantoja vs Brandon Royval,Decision - Unanimous,5,5:00
