external_fighter_url,external_fighter_name,external_birth_date,canonical_fighter_id,canonical_name,canonical_dob,match_method,review_status,match_confidence
/fighter/Georgy-Kichigin-127557,Georgy Kichigin,1989-03-05,,,,,unmatched_exact_name,
/fighter/Ivan-Serati-16300,Ivan Serati,,080fd2ce-ab30-5d86-a53d-27cf18273ba8,Ivan Serati,,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/Omri-Barel-237109,Omri Barel,,,,,,unmatched_exact_name,
/fighter/Brandon-Halsey-91819,Brandon Halsey,1986-09-16,fcccda33-5e85-5eaf-8483-3386b6bb11af,Brandon Halsey,1986-09-16,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Renan-Barao-23156,Renan Barao,1987-01-31,263b6ea1-e4d4-5a99-9c46-2fa761bfa6de,Renan Barao,1987-01-31,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Alejandra-Lara-172513,Alejandra Lara,1994-08-04,,,,,unmatched_exact_name,
/fighter/Jessica-Rakoczy-53506,Jessica Rakoczy,1977-04-14,4639a877-ff08-527d-99ad-dc7044c5bbe2,Jessica Rakoczy,1977-04-14,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Lucie-Pudilova-159569,Lucie Pudilova,1994-06-13,f4574b87-f75f-536a-9458-505734654a4c,Lucie Pudilova,1994-06-13,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Tom-English-71291,Tom English,1975-03-25,,,,,unmatched_exact_name,
/fighter/Rob-McCullough-2288,Rob McCullough,1977-05-26,a1e5092e-fed3-5c2f-81be-f50efd1a66b3,Rob McCullough,1977-05-26,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Jessica-Penne-21247,Jessica Penne,1983-01-30,3de2b298-d7c4-5cf7-8f07-8f1472d0a6f3,Jessica Penne,1983-01-30,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Brian-Moore-64364,Brian Moore,1987-08-13,,,,,unmatched_exact_name,
/fighter/Adil-Benjilany-150331,Adil Benjilany,1991-01-01,,,,,unmatched_exact_name,
/fighter/Preston-Parsons-173219,Preston Parsons,1995-07-15,2e3e5a74-942a-576c-b317-c624c81c785f,Preston Parsons,1995-07-15,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/John-DeVall-57180,John DeVall,1985-09-17,,,,,unmatched_exact_name,
/fighter/Jung-Yoon-Choi-258433,Jung Yoon Choi,1998-03-20,,,,,unmatched_exact_name,
/fighter/Mike-Winters-63330,Mike Winters,,,,,,unmatched_exact_name,
/fighter/Peter-Barrett-79095,Peter Barrett,1986-08-10,f388c834-3dd2-55e5-ab60-9be5cab01fe4,Peter Barrett,1986-08-10,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Dean-Lister-338,Dean Lister,1976-02-13,f221b437-9fb3-5152-837a-f17ebe89efae,Dean Lister,1976-02-13,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Mark-Kerr-71,Mark Kerr,1968-12-21,605da9b1-f5fb-5e53-b9e8-a4ae86051d9a,Mark Kerr,1968-12-21,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Leonardo-Guimaraes-14971,Leonardo Guimaraes,1982-04-15,9d2a203d-7775-53ec-bdf9-dc7b5d0af39e,Leonardo Guimaraes,1982-04-15,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Alberto-Mina-16705,Alberto Mina,1982-05-02,bd978ecc-01c4-52ef-9634-8fcf344dd285,Alberto Mina,1982-05-02,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Matt-Uhde-83230,Matt Uhde,1974-01-14,,,,,unmatched_exact_name,
/fighter/Andre-Soukhamthath-67967,Andre Soukhamthath,1988-10-23,1da59537-fde3-5189-b942-86c86dce7b50,Andre Soukhamthath,1988-10-23,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Anthony-Torres-1884,Anthony Torres,1978-07-31,76c836aa-b7d2-589c-af9f-8127fc305e4c,Anthony Torres,1978-07-31,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Victor-Moreno-10378,Victor Moreno,1984-01-05,,,,,unmatched_exact_name,
/fighter/Keith-Lee-227423,Keith Lee,1996-10-04,,,,,unmatched_exact_name,
/fighter/Josh-Quayhagen-68066,Josh Quayhagen,1986-08-30,,,,,unmatched_exact_name,
/fighter/Justin-Baesman-31286,Justin Baesman,1981-06-03,,,,,unmatched_exact_name,
/fighter/Ousmane-Thomas-Diagne-46543,Ousmane Thomas Diagne,1983-09-03,,,,,unmatched_exact_name,
/fighter/Fernando-Martinez-48413,Fernando Martinez,1980-02-03,,,,,unmatched_exact_name,
/fighter/Joe-Lauzon-4923,Joe Lauzon,1984-05-22,99129ec8-fc35-522f-95a7-4f97f6516184,Joe Lauzon,1984-05-22,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Jason-Godsey-215,Jason Godsey,1964-01-01,9ec37ca4-1139-5b38-ac44-2d9c079cccf8,Jason Godsey,,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/Ray-Borg-84752,Ray Borg,1993-08-04,7c415632-f7e9-5774-9c88-23efb10505e1,Ray Borg,1993-08-04,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Jonathan-Davis-190979,Jonathan Davis,1997-12-17,,,,,unmatched_exact_name,
/fighter/Jaime-Jara-5337,Jaime Jara,1969-02-08,,Jaime Jara,1969-08-02,exact_normalized_name_but_dob_conflicts_after_dmy_parse,dob_conflict,
/fighter/Keith-Wisniewski-2095,Keith Wisniewski,1981-10-25,a19f087c-158b-517d-9bca-50b02b98bfa4,Keith Wisniewski,1981-10-25,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Eugene-Fadiora-30810,Eugene Fadiora,1988-06-01,,,,,unmatched_exact_name,
/fighter/Jason-Fish-48637,Jason Fish,,,,,,unmatched_exact_name,
/fighter/Thiago-Moises-130351,Thiago Moises,1995-03-23,be0758f1-7148-57c9-8aca-f112caf27635,Thiago Moises,1995-03-23,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Greg-Hardy-271461,Greg Hardy,1988-07-28,084e5799-dbb4-599b-9371-b7efbae39fa4,Greg Hardy,1988-07-28,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Valmir-Lazaro-22216,Valmir Lazaro,1985-08-15,9cb9ff41-ec99-5ab5-8fd9-34fc12b076c0,Valmir Lazaro,1985-08-15,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Paige-VanZant-99019,Paige VanZant,1994-03-26,1ac8b4e1-b636-599a-813b-33b8259576b2,Paige VanZant,1994-03-26,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
