ranking_fighter_name,normalized_name,greco_fighter_name,greco_fighter_url,match_method,review_status
Bryan Caraway,bryancaraway,Bryan Caraway,http://ufcstats.com/fighter-details/5ef0088c1b19beeb,exact_normalized_display_name_unique,candidate
Bryce Mitchell,brycemitchell,Bryce Mitchell,http://ufcstats.com/fighter-details/d9c6f19f958643e9,exact_normalized_display_name_unique,candidate
C.B. Dollaway,cbdollaway,CB Dollaway,http://ufcstats.com/fighter-details/5d7bdab5e03e3216,exact_normalized_display_name_unique,candidate
Cain Velasquez,cainvelasquez,Cain Velasquez,http://ufcstats.com/fighter-details/0ff11cc094e887bc,exact_normalized_display_name_unique,candidate
Caio Borralho,caioborralho,Caio Borralho,http://ufcstats.com/fighter-details/4126a78111c0855a,exact_normalized_display_name_unique,candidate
Calvin Kattar,calvinkattar,Calvin Kattar,http://ufcstats.com/fighter-details/751de04455cfaac0,exact_normalized_display_name_unique,candidate
Carla Esparza,carlaesparza,Carla Esparza,http://ufcstats.com/fighter-details/d910665038efc639,exact_normalized_display_name_unique,candidate
Carlos Condit,carloscondit,Carlos Condit,http://ufcstats.com/fighter-details/f9f07bb5a43535ed,exact_normalized_display_name_unique,candidate
Carlos Prates,carlosprates,Carlos Prates,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,exact_normalized_display_name_unique,candidate
Carlos Ulberg,carlosulberg,Carlos Ulberg,http://ufcstats.com/fighter-details/9014c02eff8b3d62,exact_normalized_display_name_unique,candidate
Casey Kenney,caseykenney,Casey Kenney,http://ufcstats.com/fighter-details/e7bba7ce4d6c7b07,exact_normalized_display_name_unique,candidate
Casey O'Neill,caseyoneill,Casey O'Neill,http://ufcstats.com/fighter-details/04835018f90b118c,exact_normalized_display_name_unique,candidate
Cat Zingano,catzingano,Cat Zingano,http://ufcstats.com/fighter-details/3ecd936bd8814108,exact_normalized_display_name_unique,candidate
Cezar Ferreira,cezarferreira,Cezar Ferreira,http://ufcstats.com/fighter-details/dbc17725b887860a,exact_normalized_display_name_unique,candidate
Chad Mendes,chadmendes,Chad Mendes,http://ufcstats.com/fighter-details/b5b684eac99ae0a3,exact_normalized_display_name_unique,candidate
Chael Sonnen,chaelsonnen,Chael Sonnen,http://ufcstats.com/fighter-details/48d1f690b763934c,exact_normalized_display_name_unique,candidate
Chan Sung Jung,chansungjung,Chan Sung Jung,http://ufcstats.com/fighter-details/c451d67c09c55418,exact_normalized_display_name_unique,candidate
Charles Johnson,charlesjohnson,Charles Johnson,http://ufcstats.com/fighter-details/814e5233e2acf2ee,exact_normalized_display_name_unique,candidate
Charles Oliveira,charlesoliveira,Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,exact_normalized_display_name_unique,candidate
Chelsea Chandler,chelseachandler,Chelsea Chandler,http://ufcstats.com/fighter-details/af9efbfd63d39734,exact_normalized_display_name_unique,candidate
Chico Camus,chicocamus,Chico Camus,http://ufcstats.com/fighter-details/32be4b7f7de1c905,exact_normalized_display_name_unique,candidate
Chris Cariaso,chriscariaso,Chris Cariaso,http://ufcstats.com/fighter-details/b2e3aca4cd363477,exact_normalized_display_name_unique,candidate
Chris Curtis,chriscurtis,Chris Curtis,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,exact_normalized_display_name_unique,candidate
Chris Daukaus,chrisdaukaus,Chris Daukaus,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45,exact_normalized_display_name_unique,candidate
Chris Gutierrez,chrisgutierrez,Chris Gutierrez,http://ufcstats.com/fighter-details/45f0cc9d18f35137,exact_normalized_display_name_unique,candidate
Chris Weidman,chrisweidman,Chris Weidman,http://ufcstats.com/fighter-details/3a8176e15b9887c1,exact_normalized_display_name_unique,candidate
Christian Leroy Duncan,christianleroyduncan,Christian Leroy Duncan,http://ufcstats.com/fighter-details/a93f94c923c3a9cb,exact_normalized_display_name_unique,candidate
Ciryl Gane,cirylgane,Ciryl Gane,http://ufcstats.com/fighter-details/787bb1f087ccff8a,exact_normalized_display_name_unique,candidate
Claudia Gadelha,claudiagadelha,Claudia Gadelha,http://ufcstats.com/fighter-details/ec34349e7dffcde7,exact_normalized_display_name_unique,candidate
Clay Guida,clayguida,Clay Guida,http://ufcstats.com/fighter-details/c47df9303d318c67,exact_normalized_display_name_unique,candidate
Cody Durden,codydurden,Cody Durden,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,exact_normalized_display_name_unique,candidate
Cody Garbrandt,codygarbrandt,Cody Garbrandt,http://ufcstats.com/fighter-details/d8c7c61b176e3994,exact_normalized_display_name_unique,candidate
Cody Stamann,codystamann,Cody Stamann,http://ufcstats.com/fighter-details/bf7ad5628363eec9,exact_normalized_display_name_unique,candidate
Colby Covington,colbycovington,Colby Covington,http://ufcstats.com/fighter-details/dc9572dd6ec74859,exact_normalized_display_name_unique,candidate
Conor McGregor,conormcgregor,Conor McGregor,http://ufcstats.com/fighter-details/f4c49976c75c5ab2,exact_normalized_display_name_unique,candidate
Corey Anderson,coreyanderson,Corey Anderson,http://ufcstats.com/fighter-details/5e4eec08896c9423,exact_normalized_display_name_unique,candidate
Cortney Casey,cortneycasey,Cortney Casey,http://ufcstats.com/fighter-details/5f179af5fffeb9f6,exact_normalized_display_name_unique,candidate
Cory Sandhagen,corysandhagen,Cory Sandhagen,http://ufcstats.com/fighter-details/65f09bacd3957381,exact_normalized_display_name_unique,candidate
Cub Swanson,cubswanson,Cub Swanson,http://ufcstats.com/fighter-details/d247691a6c0e9034,exact_normalized_display_name_unique,candidate
Curtis Blaydes,curtisblaydes,Curtis Blaydes,http://ufcstats.com/fighter-details/fa6796c55d6c5440,exact_normalized_display_name_unique,candidate
Curtis Millender,curtismillender,Curtis Millender,http://ufcstats.com/fighter-details/f1928a52590c5532,exact_normalized_display_name_unique,candidate
Cynthia Calvillo,cynthiacalvillo,Cynthia Calvillo,http://ufcstats.com/fighter-details/98215d037be5bcb7,exact_normalized_display_name_unique,candidate
Damir Ismagulov,damirismagulov,Damir Ismagulov,http://ufcstats.com/fighter-details/135d124172a0bea3,exact_normalized_display_name_unique,candidate
Dan Henderson,danhenderson,Dan Henderson,http://ufcstats.com/fighter-details/1ccf4e7caff270df,exact_normalized_display_name_unique,candidate
Dan Hooker,danhooker,Dan Hooker,http://ufcstats.com/fighter-details/193b9d1858bc4df3,exact_normalized_display_name_unique,candidate
