fightmetric_id,raw_color,round,resource_id,drupal_internal_id,reason,field,raw_value,details
120,1,1,5ce9944e-5a08-4981-9341-d8a087a6374c,33934,missing_canonical_fight_identity,,,
12034,0,1,c9ed8eca-71a9-47b4-9fbc-a4265afdcc2a,64728,missing_canonical_fight_identity,,,
12034,0,2,3140e19c-ac4b-4ef8-8687-f033008397f6,64729,missing_canonical_fight_identity,,,
12034,0,3,8f15394a-92f3-4691-a437-0536e517e3e4,64730,missing_canonical_fight_identity,,,
12034,1,1,0afbf55e-da39-4149-abb0-46c6542d6829,64731,missing_canonical_fight_identity,,,
12034,1,2,f1120116-7621-481e-81a1-c2223b6f2163,64732,missing_canonical_fight_identity,,,
12034,1,3,b761363f-0a0f-4d50-a348-063a4e167d6b,64733,missing_canonical_fight_identity,,,
12045,0,1,6eece17f-c9a1-47e1-a965-55a7df24b3f4,64773,missing_canonical_fight_identity,,,
12045,0,2,58e1a10d-a88e-4653-b002-5c25b868c86e,64774,missing_canonical_fight_identity,,,
12045,0,3,68d778e9-16c4-43b8-b7cd-add208cd9a70,64775,missing_canonical_fight_identity,,,
12045,1,1,d1bd3fa5-57c5-4a61-95fb-858d328e608d,64776,missing_canonical_fight_identity,,,
12045,1,2,b71f1807-d31a-4b8c-bc61-dedbc18679c7,64777,missing_canonical_fight_identity,,,
12045,1,3,e1a0fb9d-744e-4e8d-b2fa-54d7ef36e6dd,64778,missing_canonical_fight_identity,,,
121,0,1,efd81f17-4738-4315-af61-43bc4a337097,33925,missing_canonical_fight_identity,,,
121,1,1,98c13133-69e6-411f-a3da-a32f9fa93a6c,33926,missing_canonical_fight_identity,,,
12184,0,1,f7490863-e3cd-433b-8013-fe4820fb0b49,65757,missing_canonical_fight_identity,,,
12184,0,2,4a8bc552-1a0c-44ae-bb30-f3e5f5399ab0,65758,missing_canonical_fight_identity,,,
12184,0,3,9e6663fc-3252-458a-979b-8f10dd000fb5,65759,missing_canonical_fight_identity,,,
12184,1,1,b8e77f16-8bbf-4e50-91a4-367a082e0c03,65760,missing_canonical_fight_identity,,,
12184,1,2,8607ac1e-3da5-49a6-8793-535d0ce20227,65761,missing_canonical_fight_identity,,,
