fightmetric_id,corner,round,resource_id,drupal_internal_id,compared_fields,exact_fields,absolute_error_sum
3469,blue,2,255389f6-1f27-4471-b5b4-135ee91dc40d,56646,18,18,0
3525,blue,1,d36f92c6-d295-4ae6-b11b-ddd6ad118db7,38458,15,15,0
3525,blue,1,baeca570-a10c-404f-9e7b-b315beedea08,56650,18,18,0
3625,blue,1,6ee5b927-2c75-4407-ab82-1344619501eb,38758,15,15,0
3625,blue,1,92af136d-db5a-4b7c-828f-c65c78ccc3b6,53251,18,18,0
3684,blue,1,caeff42a-f05c-43b7-836a-724ce10de6e4,38898,15,15,0
3684,blue,1,7ec2b7b6-ac46-40e1-8b88-d4febded2769,53213,18,18,0
3684,blue,2,1c1c0efc-c388-4aa7-bf7e-9d26857c52d0,38899,15,15,0
3684,blue,2,d98a80f5-9bff-4add-8e11-0e3e7749f471,53214,18,18,0
3684,blue,3,8d6d806b-02a5-4696-9a1b-976f2fd3a31e,38900,15,15,0
3684,blue,3,64879c48-4158-4dce-bf75-73bdb0301c23,53215,18,18,0
3698,blue,1,730be3ae-6ffe-4bb1-9fc8-9cd921ce9449,39073,15,15,0
3698,blue,1,6e2a5d54-4374-4b78-b6e5-f2775bdd01cc,53221,18,18,0
3698,blue,2,72b48154-9131-452a-a19d-e28124317ce3,39074,15,15,0
3698,blue,2,6b476442-d53c-41dd-9021-23e7b1374b5f,53222,18,18,0
3698,blue,3,ce488c9b-5bdb-405e-b8cb-5f5e728642f1,39075,15,15,0
3698,blue,3,39bbc402-197e-422b-8924-f9c2dc41d2e6,53223,18,18,0
3755,blue,1,3d4ebf3f-19be-4afb-9129-44513c76a712,39282,15,15,0
3755,blue,1,6b307955-9c3a-4ef7-b676-110a6f936da2,60471,18,18,0
3755,blue,2,7764a9e9-774b-4e59-899e-241137f6ff72,39283,15,15,0
