archive_key,fight_id,event_date,judge_block,psm7_text,psm11_text,scorecard_candidate,espn_judge_name,espn_official_ids,similarity_psm7,similarity_psm11,runner_up_similarity,margin,identity_status
a25470e42117c314824f288e.png,529cbbf2-1d9f-5392-85d0-8759b4083e25,2026-05-30,1,EVAN FIELD,EVAN FIELD,EVAN FIELD,Evan Field,3952892,1.0,1.0,0.64,0.36,reconciled_unique_espn_judge
a25470e42117c314824f288e.png,529cbbf2-1d9f-5392-85d0-8759b4083e25,2026-05-30,2,DAVID LETHABY,DAVID LETHABY,DAVID LETHABY,David Lethaby,4319691,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
a25470e42117c314824f288e.png,529cbbf2-1d9f-5392-85d0-8759b4083e25,2026-05-30,3,CEZAR WOJCIECHOWSKI,CEZAR WO CIECHOWSKI,CEZAR WOJCIECHOWSKI,Cezary Wojciechowski,4280533,0.97436,0.92308,0.5,0.42308,reconciled_unique_espn_judge
a816b0420d7f3aba8350be89.jpg,7d5bd54a-2e8f-5e8c-96c2-b245dd10f8d6,2025-12-13,1,JUNICHIROKAMIO,JUNICHIRO KAMIJO,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
a816b0420d7f3aba8350be89.jpg,7d5bd54a-2e8f-5e8c-96c2-b245dd10f8d6,2025-12-13,2,- DAVIDSUTHERLAND,DAVID SUTHERLAND,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
a816b0420d7f3aba8350be89.jpg,7d5bd54a-2e8f-5e8c-96c2-b245dd10f8d6,2025-12-13,3,TONY WEEKS,TONY WEEKS,TONY WEEKS,Tony Weeks,2593944,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
b3a95d04d912600278cc4860.jpg,72677782-6338-51f2-bc73-0bea8595b6b6,2026-01-24,1,BEN CARTLIDGE,BEN CARTLIDGE,BEN CARTLIDGE,Ben Cartlidge,3023938,1.0,1.0,0.61538,0.38462,reconciled_unique_espn_judge
b3a95d04d912600278cc4860.jpg,72677782-6338-51f2-bc73-0bea8595b6b6,2026-01-24,2,RON MCCARTHY,RON MCCARTHY,RON MCCARTHY,Ron McCarthy,4021253,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
b3a95d04d912600278cc4860.jpg,72677782-6338-51f2-bc73-0bea8595b6b6,2026-01-24,3,TONY WEEKS,TONY WEEKS,TONY WEEKS,Tony Weeks,2593944,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
b95eaa924e0ee38e97438a0a.jpg,ddc84dec-2fc9-5606-9994-c39abc600b53,2022-03-19,1,BEN CARTLIDGE,BEN CARTLIDGE,BEN CARTLIDGE,Ben Cartlidge,3023938,1.0,1.0,0.61538,0.38462,reconciled_unique_espn_judge
