source_row_number,date,weightclass,fighter,rank,reason,details
1456,2013-06-18,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1508,2013-07-08,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1554,2013-07-08,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1556,2013-07-08,Middleweight,Costas Philippou,7,unmatched_exact_canonical_name,canonical_candidate_count=0
1565,2013-07-08,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1617,2013-07-29,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1663,2013-07-29,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1665,2013-07-29,Middleweight,Costas Philippou,7,unmatched_exact_canonical_name,canonical_candidate_count=0
1674,2013-07-29,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1726,2013-08-05,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1772,2013-08-05,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1774,2013-08-05,Middleweight,Costas Philippou,7,unmatched_exact_canonical_name,canonical_candidate_count=0
1784,2013-08-05,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
1835,2013-08-19,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1881,2013-08-19,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1883,2013-08-19,Middleweight,Costas Philippou,7,unmatched_exact_canonical_name,canonical_candidate_count=0
1893,2013-08-19,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
1944,2013-08-30,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1990,2013-08-30,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1992,2013-08-30,Middleweight,Costas Philippou,7,unmatched_exact_canonical_name,canonical_candidate_count=0
2002,2013-08-30,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
