ufc_athlete_uuid,fightmetric_id,official_fight_appearances,disposition,exact_trusted_match_count,matched_canonical_ids,matched_source_names,crosswalk_disposition
248b95af-8280-4bd9-a0e9-0d8f6bc78e6f,3801,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
2499a5e9-388a-4775-9c7d-0ba98eea8ea3,3102,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
24a6401e-fdaf-4634-aab2-23367c76a5da,1796,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
24ab4765-96a5-403e-814c-6599147e6026,857,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
24b1c264-a7e0-4ef4-ab86-5349794b5d67,773,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
25008661-5104-4f1f-b839-0161617c42d8,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
252a1f43-69c4-4671-8fb7-44215d56619c,724,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
25d0d325-ffdb-4b6c-b4a6-62c1c326b47b,4143,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
261932d2-bc8d-473f-b789-59aface21f20,1506,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
26238ab2-73a0-47f6-8f7b-80f7e8ad7d06,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
26376a44-6707-47d4-a89e-a22dcaa81b78,844,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
26620a5b-61f0-499a-b58b-c42fa81bb9c4,4053,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
26960298-ae79-4e00-bb6f-cd9148774938,4601,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
269680ca-42cb-4b33-a122-a150461aca5e,1235,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
26c78b15-6568-4d4f-adcd-7b73d9c16de4,14,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
26c84934-5055-4c8b-b405-a062dc5dec16,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
26f751ea-8bb0-491d-be5b-d01b8c937724,1554,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
2721d53b-8cf7-4dd9-88f8-b1ddc8fb99b4,123,6,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
273d7a9a-69ac-4295-b7bc-df9eb9587af9,3006,6,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
27465e2b-6bfe-49e8-9646-d0b7c9dd7315,4064,9,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
2796b151-f474-4b3e-b751-21e15667ece1,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
27a0befa-09f3-4c8d-b060-3588b8d79e6c,992,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
27ad744f-b4a3-4708-a45b-221646f01944,458,5,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
27d75649-4654-4713-9da1-fb0ce656294a,2798,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
27f87bff-7d7b-41a3-a571-782fdf87752d,2976,2,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
28126ff3-d52b-42cd-b590-b562babe5f22,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
2841869b-904d-48f1-8c6b-a995654200ea,702,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
28606a70-d8c8-4371-bbd1-2de536e1aa35,4637,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
28694d08-de65-4a52-806c-8be181a16dce,1065,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
287c3269-a919-4793-a6c3-1f7e5c8a857e,1727,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
288dcad9-3d46-4a2d-8801-34f5e05d24ff,,0,profile_only_unlinked_no_stable_fight_bridge,0,,,no_source_explicit_fightmetric_id
2891c917-825e-4a4c-adab-e9a7b8093b0f,3820,3,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
28b966ac-aa71-4942-ae53-716de97ff0c6,3816,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
28c89872-c08d-41fa-a5f2-46c1832936e1,749,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
296852ff-83b9-458a-a7a0-2d30b2921215,1067,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
298a6dc9-baaf-495f-a94e-dd8e40e45375,4097,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
29a527d5-2dda-4dbd-b9ab-c068f8647c90,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
29d2592e-7e1d-47fe-8ed6-06c63be6ba7c,727,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
