ufc_athlete_uuid,title,fightmetric_id,old_id,old_url,athlete_status_text,official_fight_appearances,distinct_official_fights,disposition
e22aae6e-ffe6-4d1c-8e96-da0d4bd787d2,Paul Morris,,517,http://www.ufc.com/fighter/Paul-Morris,Released,0,0,profile_only_legacy_identity
e22e6ed1-e4cd-4068-9a80-520a28ec0db6,Valentijn Overeem,809,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e24ee3dd-9324-4b8d-b8e4-63a042b53b8e,Tommy Wauchope,,530229,http://www.ufc.com/fighter/tommy-wauchope-bud-light-living-champion,Not Fighting,0,0,profile_only_legacy_identity
e2663dde-1ca5-4f03-8742-c8785b4cc126,Jack May,2194,472737,http://www.ufc.com/fighter/Jack-May,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e316ada5-7a18-40b0-a3b0-ab55d225b046,Ricardo Morais,784,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e3369939-3346-4afa-9aed-834b998384b2,Derek Getzel,1688,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e33f1096-f877-4051-b257-3a71e08ae6c7,Jay White,,579,http://www.ufc.com/fighter/Jay-White,Released,0,0,profile_only_legacy_identity
e34dcb4b-624b-4573-aef7-d8a5e5561a1d,Takayo Hashi,1479,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e361351f-364a-423e-9dce-5919eb6dbdc3,He-Man Gipson,569,52,http://www.ufc.com/fighter/He-Man-Gipson,Not Fighting,1,1,unlinked_with_official_fight_history
e37be35a-7684-47a4-9ddb-616124218946,Mayana Kellem,3175,662493,http://www.ufc.com/fighter/Mayana-Kellem,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e37d4652-2083-47bd-aa78-913f1a004412,Brian Olsen,,688,http://www.ufc.com/fighter/Brian-Olsen,Released,0,0,profile_only_legacy_identity
e3911146-56e7-44c0-b472-04a4502359a3,Chris Bostick,1329,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e3aabe7f-034f-4409-bb86-55ab99a529b6,Gary Tapusoa,1445,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e3ad0c07-7022-4164-bb4c-2bca23c19fe0,Steve Steinbeiss,964,956,http://www.ufc.com/fighter/Steve-Steinbeiss,Not Fighting,9,9,unlinked_with_official_fight_history
e3b98354-3923-4517-ae46-c06605eb3e1f,Tony Peterra,74,96,http://www.ufc.com/fighter/Tony-Peterra,Not Fighting,1,1,unlinked_with_official_fight_history
e3e32a7b-5db6-43da-87ca-9f5b30f348e0,Kenny Ento,,705,http://www.ufc.com/fighter/Kenny-Ento,Released,0,0,profile_only_legacy_identity
e3e5f746-b316-4304-aee0-2d70432f8cd9,Ryan Bastianelli,1325,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e3f749f2-65c4-40ab-84f9-9cd1aab4fd98,Simon Biyong,3580,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
e424d1ea-dade-40e2-8f19-9c5f3b966854,Todd Moore,919,558,http://www.ufc.com/fighter/Todd-Moore,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e459b891-697d-46e5-8ac9-b9ba324bccff,Neil Wain,617,914,http://www.ufc.com/fighter/Neil-Wain,Not Fighting,2,2,unlinked_with_official_fight_history
e4be148b-f764-4489-8cdf-2af89ec9df07,Matt Skelton,836,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e4ce02ae-fa30-4ef0-8c27-c3b22a0f6d70,Gleidson Cutis,3187,662537,http://www.ufc.com/fighter/Gleidson-Cutis,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e4d9a2eb-6504-4762-907d-c9557fe6f353,Brandon Magana,1330,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e52636c8-ab53-4966-ba2b-21122807dacf,Alexander Morgan,3915,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e535f774-4070-4f1e-976e-a57984991692,Lemont Davis,1282,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e571ee07-46c2-4204-b6a4-8c1486207261,Virgil Zwicker,1664,242830,http://www.ufc.com/fighter/Virgil-Zwicker,Not Fighting,2,2,unlinked_with_official_fight_history
e5b3f8cd-07ff-4b29-b756-036353f73041,Rodrigo Ruas,321,294,http://www.ufc.com/fighter/Rodrigo-Ruas,Not Fighting,2,2,unlinked_with_official_fight_history
e5c18415-b542-4df3-bba9-6242ac33e7be,Joilton Lutterbach,4234,,,,0,0,profile_only_unlinked_with_fightmetric_id
e6715442-2177-4384-adcb-d41539610c16,Scott Ventimiglia,1385,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e674b24b-b9a8-4855-ab0c-460abc691db9,Namsrai Batbayar,4329,,,,3,3,unlinked_with_official_fight_history
e6a3d690-b1c2-4c64-add9-fb1f7c89b61b,Jackie Lee,586,213,http://www.ufc.com/fighter/Jackie-Lee,Not Fighting,2,2,unlinked_with_official_fight_history
e6b0a86c-8abd-4f40-9151-e392dfdd143c,Ronal Siahaan,3979,,,Active,1,1,unlinked_with_official_fight_history
e71668cc-92e8-4539-851f-37619d3682c3,Carlo Pedersoli,3088,656035,http://www.ufc.com/fighter/Carlo-Pedersoli,Not Fighting,3,3,unlinked_with_official_fight_history
e74e1115-bb9a-4ba5-ad65-206175ea3c81,Xue Do Won,860,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e7a10bb1-1763-47fc-be81-f74e25bbd85f,Wang Anying,2188,472512,http://www.ufc.com/fighter/Anying-Wang,Not Fighting,2,2,unlinked_with_official_fight_history
e7b904cc-7139-40b4-968f-1ae7839b4148,Bryan Travers,1512,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e81fa9ae-ccea-49c1-a015-d93662b441dd,Dan Marks,,684,http://www.ufc.com/fighter/Dan-Marks,Released,0,0,profile_only_legacy_identity
e823eb84-8894-47e9-9533-8eab90c79d7a,Fernando Bettega,1692,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e8291239-4cea-420c-958a-7391c1053b91,Ray Rodriguez,3392,,,Not Fighting,2,2,unlinked_with_official_fight_history
e8acf990-9063-48cf-9be3-5680a9e71809,Jimmy Lawson,3876,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e8b447b9-3449-4cb6-8582-fe72faccd6fa,Cameron Nelson,4631,,,Active,1,1,unlinked_with_official_fight_history
e8f2671a-654e-4ee7-9f5f-345bf5ce4943,Jeremia Siregar,3819,,,Not Fighting,1,1,unlinked_with_official_fight_history
e91ce300-4afb-45f5-863a-f529b5bafca1,Demetrius Gioulacos,720,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e94c02df-8622-4f12-8ada-9b5bd3f32da4,Juan Puerta,3709,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e9592733-b877-4586-859e-a4ad40f86614,Rex Richards,1237,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
